OTUID,poblacion,temporada,seccion,sexo,corrida,profundidad ,Sexo_poblacion,Sexo_temporada,comparacion
265MI,2600 msnm,Reproductiva,Ileon,Macho,corrida1,5422,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
265MR,2600 msnm,Reproductiva,Recto,Macho,corrida1,704,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
265MS,2600 msnm,Reproductiva,Estomago,Macho,corrida1,17910,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
263MI,2600 msnm,Reproductiva,Ileon,Macho,corrida1,3218,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
263MR,2600 msnm,Reproductiva,Recto,Macho,corrida1,12862,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
263MS,2600 msnm,Reproductiva,Estomago,Macho,corrida1,12394,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
261MI,2600 msnm,Reproductiva,Ileon,Macho,corrida1,6798,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
261MR,2600 msnm,Reproductiva,Recto,Macho,corrida1,11279,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
261MS,2600 msnm,Reproductiva,Estomago,Macho,corrida1,2642,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
264MI,2600 msnm,Reproductiva,Ileon,Macho,corrida1,12196,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
264MR,2600 msnm,Reproductiva,Recto,Macho,corrida1,8316,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
264MS,2600 msnm,Reproductiva,Estomago,Macho,corrida1,172,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
262MI,2600 msnm,Reproductiva,Ileon,Macho,corrida1,8401,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
262MR,2600 msnm,Reproductiva,Recto,Macho,corrida1,5036,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
262MS,2600 msnm,Reproductiva,Estomago,Macho,corrida1,294,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
26M6ScS,2600 msnm,Reproductiva,Estomago,Macho,corrida3,289,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
26M6ScI,2600 msnm,Reproductiva,Ileon,Macho,corrida3,983,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
26M6ScR,2600 msnm,Reproductiva,Recto,Macho,corrida3,7005,Macho 2600 msnm,Macho Reproductivo,Macho2600Rep
