ID,poblacion,temporada,seccion,sexo
26FV1I,2600 msnm,No Reproductiva,Ileon,Hembra
26FV2I,2600 msnm,No Reproductiva,Ileon,Hembra
26FV3I,2600 msnm,No Reproductiva,Ileon,Hembra
26FV4I,2600 msnm,No Reproductiva,Ileon,Hembra
26FV5I,2600 msnm,No Reproductiva,Ileon,Hembra
26H2I,2600 msnm,No Reproductiva,Ileon,Hembra
26H3I,2600 msnm,No Reproductiva,Ileon,Hembra
26H4I,2600 msnm,No Reproductiva,Ileon,Hembra
26H7I,2600 msnm,No Reproductiva,Ileon,Hembra
26H8I,2600 msnm,No Reproductiva,Ileon,Hembra
41FV1I,4150 msnm,No Reproductiva,Ileon,Hembra
41FV2I,4150 msnm,No Reproductiva,Ileon,Hembra
41FV3I,4150 msnm,No Reproductiva,Ileon,Hembra
41FV4I,4150 msnm,No Reproductiva,Ileon,Hembra
41FV5I,4150 msnm,No Reproductiva,Ileon,Hembra
H31I,4150 msnm,No Reproductiva,Ileon,Hembra
H32I,4150 msnm,No Reproductiva,Ileon,Hembra
H33I,4150 msnm,No Reproductiva,Ileon,Hembra
H34I,4150 msnm,No Reproductiva,Ileon,Hembra
H35I,4150 msnm,No Reproductiva,Ileon,Hembra
