ID,poblacion,temporada,seccion,sexo
26AFI,2600 msnm,Reproductiva,Ileon,Hembra
26BFI,2600 msnm,Reproductiva,Ileon,Hembra
26CFI,2600 msnm,Reproductiva,Ileon,Hembra
26DFI,2600 msnm,Reproductiva,Ileon,Hembra
26EFI,2600 msnm,Reproductiva,Ileon,Hembra
26FP12I,2600 msnm,Reproductiva,Ileon,Hembra
26FP16I,2600 msnm,Reproductiva,Ileon,Hembra
26FP3I,2600 msnm,Reproductiva,Ileon,Hembra
26FP7I,2600 msnm,Reproductiva,Ileon,Hembra
26FP8I,2600 msnm,Reproductiva,Ileon,Hembra
41AFI,4150 msnm,Reproductiva,Ileon,Hembra
41DFI,4150 msnm,Reproductiva,Ileon,Hembra
41FFI,4150 msnm,Reproductiva,Ileon,Hembra
41FI,4150 msnm,Reproductiva,Ileon,Hembra
41JFI,4150 msnm,Reproductiva,Ileon,Hembra
41FP16I,4150 msnm,Reproductiva,Ileon,Hembra
41FP17I,4150 msnm,Reproductiva,Ileon,Hembra
41FP18I,4150 msnm,Reproductiva,Ileon,Hembra
41FP19I,4150 msnm,Reproductiva,Ileon,Hembra
41FP20I,4150 msnm,Reproductiva,Ileon,Hembra
