ID,poblacion,temporada,seccion,sexo
26MVAI,2600 msnm,No Reproductiva,Ileon,Macho
26MVBI,2600 msnm,No Reproductiva,Ileon,Macho
26MVCI,2600 msnm,No Reproductiva,Ileon,Macho
26MVDI,2600 msnm,No Reproductiva,Ileon,Macho
26MVEI,2600 msnm,No Reproductiva,Ileon,Macho
26M10I,2600 msnm,No Reproductiva,Ileon,Macho
26M2I,2600 msnm,No Reproductiva,Ileon,Macho
26M5I,2600 msnm,No Reproductiva,Ileon,Macho
26M6I,2600 msnm,No Reproductiva,Ileon,Macho
26M9I,2600 msnm,No Reproductiva,Ileon,Macho
41MVAI,4150 msnm,No Reproductiva,Ileon,Macho
41MVBI,4150 msnm,No Reproductiva,Ileon,Macho
41MVCI,4150 msnm,No Reproductiva,Ileon,Macho
41MVDI,4150 msnm,No Reproductiva,Ileon,Macho
41MVEI,4150 msnm,No Reproductiva,Ileon,Macho
M1I,4150 msnm,No Reproductiva,Ileon,Macho
M2I,4150 msnm,No Reproductiva,Ileon,Macho
M3I,4150 msnm,No Reproductiva,Ileon,Macho
M4I,4150 msnm,No Reproductiva,Ileon,Macho
M5I,4150 msnm,No Reproductiva,Ileon,Macho
