ID,poblacion,temporada,seccion,sexo
261MI,2600 msnm,Reproductiva,Ileon,Macho
262MI,2600 msnm,Reproductiva,Ileon,Macho
263MI,2600 msnm,Reproductiva,Ileon,Macho
264MI,2600 msnm,Reproductiva,Ileon,Macho
265MI,2600 msnm,Reproductiva,Ileon,Macho
26M14I,2600 msnm,Reproductiva,Ileon,Macho
26M19I,2600 msnm,Reproductiva,Ileon,Macho
26M2ScI,2600 msnm,Reproductiva,Ileon,Macho
26M4ScI,2600 msnm,Reproductiva,Ileon,Macho
26M6ScI,2600 msnm,Reproductiva,Ileon,Macho
4110MI,4150 msnm,Reproductiva,Ileon,Macho
41EMI,4150 msnm,Reproductiva,Ileon,Macho
41GMI,4150 msnm,Reproductiva,Ileon,Macho
41IMI,4150 msnm,Reproductiva,Ileon,Macho
41JMI,4150 msnm,Reproductiva,Ileon,Macho
41M11I,4150 msnm,Reproductiva,Ileon,Macho
41M12I,4150 msnm,Reproductiva,Ileon,Macho
41M13I,4150 msnm,Reproductiva,Ileon,Macho
41M14I,4150 msnm,Reproductiva,Ileon,Macho
41M15I,4150 msnm,Reproductiva,Ileon,Macho
