ID,poblacion,temporada,seccion,sexo
4110MI,4150 msnm,Reproductiva,Ileon,Macho
41EMI,4150 msnm,Reproductiva,Ileon,Macho
41GMI,4150 msnm,Reproductiva,Ileon,Macho
41IMI,4150 msnm,Reproductiva,Ileon,Macho
41JMI,4150 msnm,Reproductiva,Ileon,Macho
41M11I,4150 msnm,Reproductiva,Ileon,Macho
41M12I,4150 msnm,Reproductiva,Ileon,Macho
41M13I,4150 msnm,Reproductiva,Ileon,Macho
41M14I,4150 msnm,Reproductiva,Ileon,Macho
41M15I,4150 msnm,Reproductiva,Ileon,Macho
41MVAI,4150 msnm,No Reproductiva,Ileon,Macho
41MVBI,4150 msnm,No Reproductiva,Ileon,Macho
41MVCI,4150 msnm,No Reproductiva,Ileon,Macho
41MVDI,4150 msnm,No Reproductiva,Ileon,Macho
41MVEI,4150 msnm,No Reproductiva,Ileon,Macho
M1I,4150 msnm,No Reproductiva,Ileon,Macho
M2I,4150 msnm,No Reproductiva,Ileon,Macho
M3I,4150 msnm,No Reproductiva,Ileon,Macho
M4I,4150 msnm,No Reproductiva,Ileon,Macho
M5I,4150 msnm,No Reproductiva,Ileon,Macho
