OTU,26AFI,26BFI,26CFI,26DFI,26EFI,26FP12I,26FP16I,26FP3I,26FP7I,26FP8I,26FV1I,26FV2I,26FV3I,26FV4I,26FV5I,26H2I,26H3I,26H4I,26H7I,26H8I
02627ca315fe369cf41825cb559ac0e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa6be2988277b340661c67858ce0ef10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f9350c4321a0880c83380a9616f47a9c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
090fbd7c50a784b89a9863d994ca4c34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995d6223e82b40fe8e16f30880f8d15c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
06a2ab5108459095e6285ad6352d910c,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3b346fe269394bbd8969fd00716bfaa8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4e924b2ecf3e11ac4efdcb06d3025e64,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cf5d27bac4bf9f93ab6e3508c47e6ee7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e2470fb8a9e3bcff7374253c06b37ea4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf605f6f0c81199ddb2d3aebffa81515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfd5ba6da1d2c1bc73f39f5363066c35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9617d5019237e05941dd26a065da9968,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,1,0,0
39144694e98a639068f6447f72f309db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d82777a72fe70dc91b09c0021a66f464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
043bec6eecff991a09d2b169b05b9f21,3,0,288,0,175,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0
c369e45d79873c33c247c00338858af1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8bfa2ead2e41c69092f77a1b9560434c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49fb6b994c618bfb0361eb6fc5df362f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c93c1327a36a6911b85c8c1b1a474fca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c203ab075235382ec1c23c22c02f255a,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
