OTUID,26CFI,26BFI,26DFI,26AFI,26EFI,26FP3I,26FP7I,26FP16I,26FP8I,26FP12I,41FI,41AFI,41DFI,41JFI,41FFI,41FP16I,41FP17I,41FP18I,41FP19I,41FP20I,26FV1I,26FV2I,26FV3I,26FV4I,26FV5I,26H2I,26H4I,26H7I,26H8I,26H3I,41FV1I,41FV2I,41FV3I,41FV4I,41FV5I,H31I,H32I,H33I,H34I,H35I,265MI,263MI,261MI,264MI,262MI,26M6ScI,26M2ScI,26M14I,26M19I,26M4ScI,4110MI,41JMI,41IMI,41GMI,41EMI,41M11I,41M12I,41M13I,41M14I,41M15I,26MVAI,26MVBI,26MVCI,26MVDI,26MVEI,26M5I,26M10I,26M2I,26M9I,26M6I,41MVAI,41MVBI,41MVCI,41MVDI,41MVEI,M1I,M3I,M4I,M5I,M2I
02627ca315fe369cf41825cb559ac0e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa6be2988277b340661c67858ce0ef10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f9350c4321a0880c83380a9616f47a9c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995d6223e82b40fe8e16f30880f8d15c,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,5,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,424,0,0,0,34,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0
cb081bb5948f790018b39136283a3b98,6,28,48,0,140,0,0,0,0,4,17,39,223,26,19,49,0,0,1138,20,1,21,23,7,5,0,1,13,3,7,0,0,49,0,4,60,0,37,477,93,141,73,1141,127,118,0,0,0,0,0,16,38,2,0,89,5,0,6,4,3,0,0,3,0,0,0,2,0,9,0,53,3,2,3,0,3,130,570,0,0
3b346fe269394bbd8969fd00716bfaa8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
dc290fb9392c12f0912025dcbdbbd224,0,0,16,0,72,0,0,0,0,0,23,0,0,67,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929805da29bce3a9838d81700d0a5770,485,311,489,10,242,0,27,0,36,456,687,793,370,377,762,40,5,0,947,182,5,15,5,63,13,2,35,112,14,15,1,0,12,14,61,464,8,595,2221,1358,218,247,8,102,10,0,11,1,4,24,102,748,165,35,878,2,3,0,10,2,5,0,15,4,10,13,9,21,32,0,1230,34,4,10,84,37,2026,1577,21,25
4b0728eafc19e8e712a7483e055fa79a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,23,13,27,0,0,90,3,52,7,0,0,0,0,0,0,0,0,0,0,0
9617d5019237e05941dd26a065da9968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ead2ffc7bdb3f2b2d74ab9409cb691b,288,0,0,3,175,0,1,0,0,0,0,24,0,31,6,0,1,0,0,239,0,0,0,2,0,0,0,6,0,2,0,0,0,3,0,0,0,3,0,6,1,0,27,0,15,0,1,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,74,1,3,3,5,0,0,0,0,0
1928e2deabf0f50bc5e216e235cc487b,30,4,0,1,20,1,0,0,3,19,45,35,19,103,76,0,0,0,0,4,8,27,2,30,0,0,2,0,4,0,0,0,0,0,0,7,0,13,705,64,2,0,0,0,0,0,0,0,0,0,7,0,0,0,20,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,50,0,0
ff6daec569f11e8ecd88a1eb1f6d0678,109,4,0,0,3,0,0,0,0,5,3,6,45,24,49,5,0,0,0,3,3,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,65,0,0,2,0,4,0,0,0,0,0,2,0,4,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,5,31,0,0
6d338102f2433ec68358bd30f08390b3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cce6aabbfd925399bf1111383f9d0a5,0,1,2,10,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,676,931,2194,1544,1727,2728,0,0,3,10,0,2,0,0,14,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265,93,603,24,13,0,0,9,0,0,32,200,41,101,165,0,0,0,0,0
31de3d22f5b19325735267725f1f49e8,12,110,107,9,97,1,6,0,13,163,386,115,268,364,256,60,0,0,2811,60,8,10,57,42,106,2,13,64,9,0,3,0,61,10,90,305,6,620,1937,963,37,72,25,6,32,0,0,0,0,0,38,190,22,19,740,0,0,6,5,1,0,0,33,0,0,7,3,24,26,0,388,18,2,22,54,26,1170,901,7,16
c91ea531c91683ca852e648c5a1b9259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0af38ea1354aa39be5d2dda24f190933,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c82870cd9d4730bc71f54e84a677293a,1,0,17,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,11,1,21,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad527676fd8412e9a8c6c92496f086e6,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce272b2de05042945d7cba8e14de0f93,449,6,4,4,11,0,2,0,0,0,12,40,3,32,12,13,0,0,3,1,6,0,0,0,0,0,0,0,0,2,0,0,22,0,14,41,0,35,9,6,40,148,190,0,0,0,0,0,0,0,19,0,11,11,310,0,0,0,0,9,0,0,0,0,0,0,0,56,6,0,4,5,0,4,0,0,42,0,0,0
38d62248a14ec1f118c65de29790c0cf,0,0,0,0,0,0,0,0,0,0,8,14,12,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,7,19,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
02dc10fc031e0343db3a4bd090423af0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,3,1,2,0,0,0,4,0,0
df84fc8bb4693ad5e425dd42a2e8ee08,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,37,4,450,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,4,0,0,0,0,0,0,0,16,294,33,79,643,0,0,0,0,0
27fbbf760a071f665031375ef30f00ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d85d1a90dbaf637c6d8ef909672ac45,0,0,0,6,212,0,0,0,4,83,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
ba9b206981921e7b165020e9de2549c9,9,4,2,0,21,0,0,0,0,52,17,23,45,17,29,37,0,0,37,12,0,0,0,19,0,0,4,0,10,20,0,0,0,0,11,0,0,0,163,28,0,13,131,61,9,0,0,0,0,0,0,22,0,0,7,0,3,0,0,2,7,0,0,0,0,1,0,30,3,0,10,3,0,0,0,0,62,8,0,0
7cebeaa2d83ee4352865c038085652c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0984051727226a32b612176a14671164,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e576ba13cd883afca365e1e645db6ef1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
4f38747c471b916678b11b424288eba1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,42,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,4,0,12,0,30,12,0,0,46,25,0,0,0,0,0,110,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931b95c7ec8076f15d2647ce159fce8f,0,0,0,0,13,0,0,0,0,1,1,1205,3,12,2209,0,0,0,0,0,2,0,11,7,0,0,0,1,7,5,0,0,5,0,0,0,1,549,0,3,33,0,14,0,0,0,0,0,0,0,0,0,0,127,5,0,1,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8a573680a1bdcad765a979c0819b7fab,0,0,0,0,0,0,0,0,0,0,6,12,8,8,3,0,0,0,172,24,226,0,5,448,11,0,0,1,7,3,0,0,0,2,0,3,0,0,5,0,27,0,16,9,25,0,0,0,0,0,5,0,13,0,0,0,4,0,5,0,0,0,0,26,18,0,0,0,0,0,0,33,0,37,62,1,0,86,0,0
47f3d645d96038371757074de1d8fb8d,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9b095f4aaa97f24647dd8d2935a82a55,9,0,0,0,40,0,0,0,0,0,162,15,119,430,143,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5,2,0,0,24,4,0,0,0,0,0,3,71,0,2,24,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0f45b96953db5b0b58e2138aee3ed697,0,0,0,0,26,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0f6fbcd7be4c9b4035486c2d716f004a,7,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
