OTUID,261MI,262MI,263MI,264MI,265MI,26AFI,26BFI,26CFI,26DFI,26EFI,4110MI,41AFI,41DFI,41EMI,41FFI,41FI,41GMI,41IMI,41JFI,41JMI,26FV1I,26FV2I,26FV3I,26FV4I,26FV5I,26MVAI,26MVBI,26MVCI,26MVDI,26MVEI,41FV1I,41FV2I,41FV3I,41FV4I,41FV5I,41MVAI,41MVBI,41MVCI,41MVDI,41MVEI,26FP12I,26FP16I,26FP3I,26FP7I,26FP8I,26H2I,26H3I,26H4I,26H7I,26H8I,26M10I,26M14I,26M19I,26M2I,26M2ScI,26M4ScI,26M5I,26M6I,26M6ScI,26M9I,41FP16I,41FP17I,41FP18I,41FP19I,41FP20I,41M11I,41M12I,41M13I,41M14I,41M15I,H31I,H32I,H33I,H34I,H35I,M1I,M2I,M3I,M4I,M5I,abun,dominio,phylum,clase,orden,familia,genero,especie,Confidence,taxa
5b417a0a0068c9b6e23752143b558bc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124584718,0,0,0.325732899,43.33662389,0,0,0,0,0,0,94.12955466,73.12252964,0,72.00854701,71.08057464,0,0,93.20987654,0,0,0,0,0.003446864,0.005737235,82.4742268,23.06878307,72.65132409,17.01599131,85.69157393,0,0,0,0,0,0,0,0,0,0,9.103113841,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas,NA,0.999994102,Pseudomonas
7e537c12b9af4d0e06d9c229f25d2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167076167,0.048614487,0,0,0.095098756,2.605863192,3.378378378,2.709677419,0.263852243,0,0,0,0,0,0.041727519,0,0,0,0,0,1.204318937,0,0,0,0,88.204088,75.86337761,76.80491551,44.79514416,81.12980769,8.760683761,0,0,17.87437372,0,0.562148657,12.96296296,5.555555556,0,3.637833468,0.342015259,9.316770186,7.804878049,0.282642883,3.21858864,0.368188513,0,0.110340479,0.077627698,1.192368839,8.998453292,51.41215307,2.259804636,11.64383562,0.557620818,57.91878173,17.84386617,2.96266773,11.57183499,18.94736842,7.931191315,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Delftia,NA,0.999621361,Delftia
501ef6cc75fb160180e332ba60a60df8,0.515008829,0.75385904,0.435052828,0,1.623316731,0.880360057,52.79943303,12.65915055,61.5222159,0.653798257,53.92302785,17.98185807,0.381679389,3.092871102,12.01938009,21.41613465,60.86115143,25.89143487,16.55710136,5.992829093,0,0,0,0,0,0.014806041,0,0,0,0,0.560448359,19.88304094,0.405327157,0.12642225,0.166910077,0.478902407,0.130195293,1.168014376,0.272130623,0.12539185,0.041528239,0,0,0,0,4.322047121,2.504743833,3.789042499,1.138088012,4.780982906,0.427350427,0,0,1.632956022,0,0,0.970017637,0,0,0,0.289397527,0,0,12.38286047,1.600688468,4.896907216,62.8042328,0.977301387,0.124204316,0.556438792,0.019069009,0,0.072896924,0,0,6.14213198,0,0.239139099,0.426742532,0,6.042875246,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Hafniaceae, g__Hafnia-Obesumbacterium, s__Hafnia_paralvei,0.719542206,Hafnia paralvei
a16986411ff8c5714b2ba245262b5f95,0.14714538,0.813689123,7.799875699,6.29623541,4.334993544,0.039566744,1.287502953,32.4812907,7.895378117,4.304171856,0.978099086,2.733147566,5.104026343,5.098139179,2.515684204,4.28516154,0.951459442,0.588163215,2.568414616,4.302543964,1.71990172,0.408361692,0.753730195,3.308010386,3.408924653,0,0,0.774193548,3.693931398,0,0.64051241,0,1.389693109,1.485461441,23.8890048,20.79989645,1.392088132,1.437556155,1.21658396,0.647857889,11.93936877,0,0,7.491856678,4.146100691,0,0.759013283,2.508960573,7.572078907,0.400641026,1.068376068,0,3.162055336,2.570050102,2.564102564,3.185509057,6.525573192,22.22222222,0,15.76394503,7.445409103,3.105590062,0,4.166828238,3.820998279,0.368188513,0.105820106,0.157629256,0.388138488,0,0.080513592,6.504462648,7.085580988,20.16315222,6.796945645,1.421319797,2.044609665,13.07958018,18.83357041,5,4.424232341,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.999999898,Lachnospiraceae
32e7dd57efc183a5b7e69af26d8641b9,0,1.017111404,0,0.164392569,0,85.39492557,0,1.715424239,0.308667046,2.311643836,2.168828407,1.820122132,1.66142793,1.006882488,3.490900056,4.478622558,2.547976133,0.75971082,0.851042144,2.595185248,2.288083538,3.928050559,4.076295954,1.538609482,1.938551573,58.2987859,49.72972973,21.24731183,9.498680739,8.591885442,7.926341073,4.093567251,0,5.088495575,7.594408512,2.98990422,10.69604407,12.39892183,7.459580599,18.26959248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.374321287,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Yersiniaceae, g__Serratia,NA,0.998740476,Serratia
47082eb92759c2179725fe69f11672c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.261670762,8.254739912,10.65989848,10.91451101,11.51426481,7.625111045,12.02702703,10.88172043,2.90237467,2.14797136,20.09607686,15.98440546,0,19.40581542,2.524514918,1.656743464,12.0881322,8.625336927,36.7056187,15.3354232,0.290697674,0,0,0,0,0,0.037950664,0,0,0.053418803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031525851,0,0.158982512,0,0,0,0,0,0,0,0,0,0,2.727299152,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Variovorax,NA,0.979756641,Variovorax
8b74089f59b28e641f2c8c736707f8b2,0,0,0,0,0,0.227508779,0,0.009719118,0.016245634,0.155666252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063211125,0.062591279,0.181206316,0.230345518,0.449236298,0.032015367,0.551724138,0,0,0,0,0,0,0,0.358422939,0,0,4.05982906,0,3.557312253,66.04193728,2.136752137,4.93441599,20.54673721,7.407407407,0,0.889248181,0,0,0,0,0,0.515463918,1.164021164,20.03467844,74.55364074,1.351351351,0,0.024452867,0,0,0,0,0,0,0.071123755,0,2.620328306,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Enterobacteriaceae, g__Salmonella,NA,0.717139406,Salmonella
27f2c61858082d5f84b7a3f0a20bb9a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64410299,22.22222222,0,2.605863192,2.073050346,2.278046497,1.859582543,1.638504864,1.24430956,1.629273504,17.73504274,1.821862348,1.976284585,0.449990722,1.068376068,1.811367895,11.72839506,7.407407407,1.851851852,4.607922393,0.631412786,20.49689441,21.95121951,0.823800599,20.04016064,4.197349043,0,1.276796974,0.046576619,0.476947536,0.21823421,1.185964054,0.058317539,0.434816069,0,3.401015228,17.84386617,0.086355786,0.597439545,16.05263158,2.493415689,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Curvibacter, s__Curvibacter_lanceolatus,0.840164182,Curvibacter lanceolatus
982fe235312fa856fb6b5dc930a8b73e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.66707617,41.04035002,40.82448854,35.03221464,39.99268471,0.111045306,0,0.387096774,0.263852243,0,0,0,0,0,0,0.012943308,0,0.449236298,0.160076837,0.020898642,0.425664452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.467345349,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__Massilia,NA,0.999986863,Massilia
929805da29bce3a9838d81700d0a5770,0.117716304,0.119660165,7.675574891,0.838402104,4.021398266,0.04945843,3.6735176,2.356885995,3.97205751,1.883561644,1.084414204,4.701488113,2.76904655,3.730138499,4.733213243,6.645385955,0.564425093,2.021811053,1.921214901,6.385521598,0.076781327,0.145843461,0.076911244,0.605827483,0.095098756,0.037015102,0,0.64516129,1.055408971,2.386634845,0.080064051,0,0.694846555,0.442477876,1.272689339,15.92026922,0.340510766,0.359389039,0.160076837,0.351097179,4.734219269,0,0,8.794788274,3.553800592,0.031206116,0.569259962,1.792114695,1.699544765,0.186965812,1.923076923,0.20242915,1.581027668,0.097420672,2.35042735,1.499063086,1.14638448,0,0,2.5869038,1.052354644,3.105590062,0,0.408022577,1.044176707,0.073637703,0.158730159,0,0.155255395,0.158982512,0.983113333,0.097811468,8.674733926,8.546252116,6.822063699,1.878172589,4.646840149,13.45821709,11.21621622,5.526315789,2.309576428,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Hungatella, s__uncultured_bacterium,0.797543792,Hungatella
