OTUID,261MR,262MR,263MR,264MR,265MR,26AFR,26BFR,26CFR,26DFR,26EFR,4110MR,41AFR,41DFR,41EMR,41FFR,41FR,41GMR,41IMR,41JFR,41JMR,26FV1R,26FV2R,26FV3R,26FV4R,26FV5R,26MVAR,26MVBR,26MVDR,26MVER,41FV1R,41FV2R,41FV3R,41FV4R,41FV5R,41MVAR,41MVBR,41MVCR,41MVDR,41MVER,26FP12R,26FP16R,26FP3R,26FP7R,26FP8R,26H2R,26H3R,26H4R,26H7R,26H8R,26M14R,26M19R,26M2R,26M2ScR,26M4ScR,26M5R,26M6R,26M6ScR,26M9R,41FP16R,41FP17R,41FP18R,41FP19R,41FP20R,41M11R,41M12R,41M13R,41M14R,41M15R,H31R,H32R,H33R,H34R,H35R,M1R,M2R,M3R,M4R,M5R,abun,dominio,phylum,clase,orden,familia,genero,especie,Confidence,taxa
501ef6cc75fb160180e332ba60a60df8,0.035464137,1.910447761,84.15117816,0.024437928,4.006163328,0.32508127,83.78576669,50.35877365,94.35354204,0.559006211,26.6087933,30.20002073,0.641503804,0.356462718,44.18356457,27.62918832,29.84251577,28.523126,28.44973666,45.47228728,0,0.375161708,0,0,0,0,0,0,0,0.014952153,2.218649518,2.82404055,0.825222175,1.704891716,0.801670146,0.335612181,30.00715504,3.343239227,3.538457299,0.147919877,0,0,0,0.897681715,0.225586227,0.161264312,0.175853759,0,0.141200049,0,0,0,0,0,0.446251844,0.045013504,0,0.00592304,4.583723106,0.026463988,0.094457974,3.751893771,0.23882387,9.161639139,50.08448324,0.067104086,0.054158607,4.525386313,0.168542708,0.184595505,0.0366183,0,0,0,0,0.382923674,0.161653078,0.005085177,9.015132806,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Hafniaceae, g__Hafnia-Obesumbacterium, s__Hafnia_paralvei,0.719542206,Hafnia paralvei
a16986411ff8c5714b2ba245262b5f95,1.640216331,1.412935323,0.015553309,0.146627566,0.61633282,4.651162791,0.929322573,0.27956388,0.704624988,8.021295475,1.727563272,1.088195668,0.052215426,9.018995068,0.731056564,2.345037394,1.460579264,0.248803828,5.440806045,1.6653656,2.765567766,3.389391979,4.468051867,25.45410706,8.871875704,1.122385587,0.385916432,0.471453607,2.087608172,4.126794258,22.05787781,21.94062274,21.22302158,15.02147837,20.29227557,11.73399627,12.5598547,13.1872214,10.95433626,9.016949153,8.996960486,7.773017717,5.963413651,4.728080879,5.975066785,6.058162662,1.385119733,4.198315963,0.238369974,1.706649493,2.008295132,9.830895975,4.996326231,24.77404307,6.686580055,1.66549965,9.05843692,21.03074058,5.893358279,4.136850574,19.59707771,10.10732428,2.950663744,6.300069232,0.028161081,4.712198032,2.429400387,17.07137601,1.294167218,6.996169643,7.433514899,10.8245174,9.551809748,9.30956913,10.05818339,7.047865459,10.35282541,8.883803712,6.863845125,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.999999898,Lachnospiraceae
929805da29bce3a9838d81700d0a5770,0.96639773,0.15920398,0.023329963,0,0,8.864716179,0.281242358,0.037275184,0.089851509,1.481810115,1.35181826,2.912218883,0.089512159,3.017725475,1.355389541,2.514049098,2.081573849,0.555023923,1.163269979,2.224824356,0.21978022,0.763260026,6.483361975,3.038096769,0.510395557,0.534272106,2.901519844,0.839236788,0.276563476,4.66507177,12.2829582,1.013758146,6.263224714,9.142797687,5.995824635,6.500932256,1.040233365,1.523031204,1.904263235,7.001540832,12.24924012,6.959773453,6.346200338,10.42356632,5.776194717,2.031930334,0.905321204,2.84107637,0.059212924,7.792625986,3.034271993,1.93149119,11.72780196,2.494897747,0.780940728,1.455436631,2.628946992,4.815431493,5.332086062,9.763094381,14.30447937,4.065082053,5.63562301,8.502291234,0.021120811,0.193856248,0.735009671,1.508462104,17.85348823,17.85038534,10.44079279,14.65263388,7.813929178,10.86116398,5.651330676,20.98318241,9.284509418,5.308924485,4.578014887,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Hungatella, s__uncultured_bacterium,0.797543792,Hungatella
eb7b29a2f748c61f1a0d50fc684ddf5d,0.124124479,0,0.038883272,0,0.770416025,0,0,0,0,0,0.082059255,2.746398591,0.074593466,0.439474584,0.704375667,1.605611189,0.342789011,0,2.839477902,0,0.073260073,0.025873221,0,0.570647806,1.043308564,0,0,0.022215091,1.195467928,0,4.083601286,2.606806662,0,0.065401252,0.075156576,10.04350528,1.816280478,0,0.372034062,12.05546995,0.015197568,1.920563462,8.99347248,0.034861426,7.379044227,0.016126431,0.049933783,4.457398575,0.280881817,0.193205603,1.702685003,21.44743585,0.033911716,0,2.573145716,0.040012004,42.09172739,0.01776912,10.00935454,0.423423805,0.417681352,47.05208347,0.203672305,19.96505456,0.112644326,0.00745601,23.89941973,14.31199411,0.397279239,4.471826111,8.797546574,0.136328934,6.030314909,0.028840053,29.5388428,0,9.418048918,0.122044241,3.979595639,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Faecalitalea, s__uncultured_bacterium,0.967869953,Faecalitalea
8a573680a1bdcad765a979c0819b7fab,34.29382037,23.68159204,0,0.109970674,0,0.337584396,0,0,0,0,0,0.196911597,22.75846636,0.15625763,1.371398079,1.871804622,0,1.716108453,0.595374399,0,0.503663004,7.322121604,0,0,2.101628762,0,0.009528801,15.15316071,30.51565706,0,0.289389068,1.955104996,18.30300466,0.309169553,3.440501044,1.342448726,0.820078155,5.534918276,31.27566346,0.129429892,0.030395137,0,0.008058667,0.008715356,0.516473731,0.03762834,0.054275852,0.259082612,7.163245476,0.41861214,0.851342502,1.151011077,0,0.004165105,0,0.0050015,0,0,0.187090739,0.599144684,0.081174821,5.087399901,0.936685828,0.62638051,0.168966488,4.689830003,2.344294004,3.016924209,3.400951062,0.46610365,0.096123037,0,0,0.836361539,0,0,0.477930841,0,3.072027246,d__Bacteria, p__Campilobacterota, c__Campylobacteria, o__Campylobacterales, f__Helicobacteraceae, g__Helicobacter,NA,0.99999997,Helicobacter
09c25852892900d095dffc4ed4f0c7b7,19.25702633,0.059701493,0.093319854,0.15884653,0.30816641,4.301075269,0,0,0.052019294,1.508429459,0.71261985,0.279821743,0,1.772547488,0.320170758,0.245066971,0.233493964,0.421052632,3.476070529,0.52042675,1.126373626,0.103492885,0.890485862,13.9688153,4.420926218,0,0,0.002468343,0.794004818,0,6.784565916,10.49963794,5.649597969,1.128171589,29.51148225,10.50341827,5.465353074,2.748885587,2.416843498,0.838212635,5.478723404,0.250508278,2.195986784,3.067805473,6.227367171,0.010750954,0.073815158,0.809633163,0.173083931,0.692320077,6.144946518,9.385470456,0.881704629,0.012495314,0.521826754,0.165049515,3.171881697,3.470243305,1.028999065,0.143964094,7.202420486,2.189771729,0.094082131,0.121979362,0,0.365344468,0.069632495,0.183958793,9.035092999,4.43490701,7.712729437,1.859526666,5.246308637,2.041875757,5.435836656,5.723156533,2.958954175,5.883549453,3.013311457,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae,NA,NA,0.999999974,Lachnospiraceae
32e7dd57efc183a5b7e69af26d8641b9,0.212784821,0.099502488,0.15553309,94.77028348,2.157164869,0.32508127,0.635852287,20.98592862,0.813392604,0.310559006,0.341193746,0.849828998,66.22407877,2.72962547,1.990394877,0.71407445,2.031894282,1.696969697,1.831921227,4.462659381,0,0.090556274,0.031245118,0.040186465,1.25347144,0.766204183,0.624136452,0.881198628,2.395396556,1.121411483,0,0.724112962,0.465509945,0.047564547,0.11691023,0.795525171,0.247674611,2.005943536,0.424394411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.761155967,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Yersiniaceae, g__Serratia,NA,0.998740476,Serratia
4b7cb404fec4c215f8d9180c1c55a1a8,2.659810267,30.54726368,0.108873163,0.073313783,0,5.176294074,0,0,0.028374161,0,4.629869569,2.300756555,0,3.496264466,0.1547492,0.240841678,2.136221372,0.20414673,0,1.0408535,0,0,0.249960944,2.137919949,0.142610523,0,0,0,0.022303506,0,9.324758842,0.217233888,5.628438426,4.4294484,2.329853862,9.136109385,0.46782982,0,0.912172403,0.640986133,0,2.682979959,13.32097671,0,0.00890472,0.021501908,1.504526606,12.41830065,1.038503583,8.597649332,4.442261515,0,0,0.012495314,1.374743585,0,0,0,2.338634238,4.707414151,4.593018965,0.011458108,0.014474174,1.061550127,0.119684596,0.305696391,0.007736944,3.936718175,0.036116294,4.536434538,0.645397537,4.90784164,0.019600157,13.12799216,0.005387351,10.40620957,0.224908631,3.717264175,2.417738975,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Breznakia, s__uncultured_bacterium,0.993744414,Breznakia
31de3d22f5b19325735267725f1f49e8,5.842716553,0.517412935,0.038883272,0.048875855,0,6.051512878,1.051601859,0,0.070935401,1.446317657,0.686706401,0.880920303,0.007459347,1.020557644,0.405549626,1.335192462,0.332853098,0.082934609,3.320357225,0.663544106,0.045787546,0.375161708,0,3.343513905,2.972303535,0,0,0.019746748,0.142742439,1.315789474,6.398713826,5.648081101,4.951333051,3.574772954,5.561586639,1.951522685,3.940778249,2.9346211,7.388320886,3.907550077,0.083586626,2.279988382,2.232250786,0.082795886,2.724844167,0.021501908,0.245326849,1.065771654,0.154864569,3.059088714,0.545732373,0.859316489,0,0,3.987476158,0.040012004,1.014430633,0.998361292,3.274087933,3.69013846,1.157110176,3.227367054,0.38149787,1.997824152,0,3.295556218,0.765957447,1.802796174,4.352013483,4.624117403,7.337391862,4.269822227,4.625637005,3.403126262,2.575153539,5.376455369,5.215068878,11.73150267,2.189418331,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Lachnoclostridium,NA,0.918406919,Lachnoclostridium
4127ed1a1e8f9dac46c2895299b26505,0,0,14.70565363,0,0.770416025,0,0.678650037,8.15394651,1.158611558,0.062111801,3.485358901,3.990050782,0.156646278,0.097661019,6.937033084,8.678751004,8.455462268,11.6108453,18.209297,5.711683581,0.100732601,0.20698577,28.05811592,0,0,0,0,0,0,0,0.803858521,1.520637219,0.105797715,0.289846456,0.283924843,0.298321939,18.08024657,3.751857355,0.019290655,0.073959938,0,0,0,0.130730347,0.011872959,0,0,0,0,0,0,0,0,0,0.413862598,0,0,0,0,0.037049583,0.033945834,0.441773715,0.038253174,0.039560874,0.542100817,0,0,0,0.168542708,0,0.013731862,0,0.05880047,0,0,0.041397154,0.077312342,0,1.903906266,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Hafniaceae, g__Hafnia-Obesumbacterium,NA,0.998599018,Hafnia obesumbacterium
