OTUID,261MR,262MR,263MR,264MR,265MR,26AFR,26BFR,26CFR,26DFR,26EFR,4110MR,41AFR,41DFR,41EMR,41FFR,41FR,41GMR,41IMR,41JFR,41JMR,26FV1R,26FV2R,26FV3R,26FV4R,26FV5R,26MVAR,26MVBR,26MVDR,26MVER,41FV1R,41FV2R,41FV3R,41FV4R,41FV5R,41MVAR,41MVBR,41MVCR,41MVDR,41MVER,26FP12R,26FP16R,26FP3R,26FP7R,26FP8R,26H2R,26H3R,26H4R,26H7R,26H8R,26M14R,26M19R,26M2R,26M2ScR,26M4ScR,26M5R,26M6R,26M6ScR,26M9R,41FP16R,41FP17R,41FP18R,41FP19R,41FP20R,41M11R,41M12R,41M13R,41M14R,41M15R,H31R,H32R,H33R,H34R,H35R,M1R,M2R,M3R,M4R,M5R
02627ca315fe369cf41825cb559ac0e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa6be2988277b340661c67858ce0ef10,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,8,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,179,0,159,0,0,0,1,19,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f9350c4321a0880c83380a9616f47a9c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,9,0,0,0,0,0,0,2,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35,0,50,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0
090fbd7c50a784b89a9863d994ca4c34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
995d6223e82b40fe8e16f30880f8d15c,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,12,0,0,23,0,0,4,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,175,3,0,0,0,0,27,0,471,0,0,0,0,0,626,2,2,0,29,0,209,0,0,0,0,0,28,0,0,0,0,0
cb081bb5948f790018b39136283a3b98,430,14,14,4,2,36,7,0,3,57,12,18,4,2,5,18,15,3,2,3,2,17,31,8,450,0,7,160,21,105,25,0,79,104,75,9,61,8,142,25,55,78,70,0,34,3,12,510,1071,10,5,24,11,61,94,187,80,3049,10,520,96,650,51,47,1,267,2,113,121,59,164,280,26,68,112,78,99,58
3b346fe269394bbd8969fd00716bfaa8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18,0,31,7,0,1,0,0,0,0,15,0,0,31,0,0,0,1,7,3,0,0,0,0,0,0,8,0,0,0,0,0,2,11
dc290fb9392c12f0912025dcbdbbd224,0,14,0,0,0,0,0,0,0,47,0,0,0,0,0,120,0,0,97,0,9,0,0,0,0,113,16,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,499,114,10,0,0,0,0,2,0,0,1,0,0,0,55,0,0,4,0,0,0,0,20,0,0,0,2,0,15,0,0,31
cf5d27bac4bf9f93ab6e3508c47e6ee7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929805da29bce3a9838d81700d0a5770,109,8,3,0,0,709,46,4,19,167,313,281,12,618,254,595,419,87,254,171,24,59,415,378,68,129,609,340,62,312,382,14,296,6151,718,523,189,41,691,1136,1612,1917,1575,2392,1946,378,417,965,39,484,278,490,2075,599,217,291,184,7317,57,9223,9692,3193,5451,2579,3,26,95,41,2966,3868,2281,2687,1196,1883,1049,4055,1321,1044
